classification,report_date,termination_date,termination_speed,status,recall_reason,recall_category,manufacturer_name,product_type,route,notification_type
Class II,2023-07-05,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,Pharmadel , OTC DRUG,AURICULAR (OTIC),Letter
Class II,2016-06-29,2017-01-24,258,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-12-19,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-03-25,2020-11-06,380,Terminated,CGMP DEVIATION,CGMP/GMP Issues,nan,nan,nan,Press Release
Class II,2019-12-18,2023-05-09,1254,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2020-04-22,,,Completed,CGMP DEVIATIONS,CGMP/GMP Issues,Aurolife Pharma, PRESCRIPTION DRUG,ORAL,Letter
Class II,2022-03-09,2023-05-05,437,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2022-12-21,2023-09-20,282,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Atlantic Management Resources , OTC DRUG,TOPICAL,Telephone
Class II,2020-12-09,2022-02-01,439,Terminated,LACK OF CGMP,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-10-06,,,Completed,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2022-04-20,2023-05-04,407,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2022-07-20,2023-05-23,336,Terminated,CGMP,CGMP/GMP Issues,Sun Pharmaceutical Industries, PRESCRIPTION DRUG,INTRAMUSCULAR,Letter
Class II,2023-01-18,,,Completed,CGMP DEVIATION,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-10-10,2020-08-31,731,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Telephone
Class II,2019-02-27,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,Torrent Pharmaceuticals Limited, PRESCRIPTION DRUG,ORAL,Letter
Class II,2021-09-08,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,China-Gel, OTC DRUG,TOPICAL,Letter
Class II,2021-10-27,2023-04-21,577,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Telephone
Class II,2022-04-13,2023-08-14,511,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Eon Labs, PRESCRIPTION DRUG,ORAL,Press Release
Class II,2022-04-27,2023-10-25,580,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2019-06-05,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-07-01,2023-09-07,1189,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,TIME CAP LABORATORIES, PRESCRIPTION DRUG,ORAL,Press Release
Class II,2021-08-18,2022-12-02,491,Terminated,LACK OF CGMP,CGMP/GMP Issues,Pharmaceutical Associates, PRESCRIPTION DRUG,ORAL,Letter
Class II,2015-08-05,2016-10-13,462,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-05-08,2020-05-19,393,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-06-26,2023-04-03,1393,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2022-05-25,2023-10-05,531,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Parke-Davis Div of Pfizer , PRESCRIPTION DRUG,ORAL,Press Release
Class II,2022-11-23,,,Completed,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2023-02-01,,,Completed,CGMP DEVIATIONS,CGMP/GMP Issues,Nephron SC ., PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2023-05-31,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,BluePoint Laboratories, PRESCRIPTION DRUG,ORAL,Letter
Class II,2013-06-12,2013-06-06,104,Terminated,CGMP DEVIATION,CGMP/GMP Issues,nan,nan,nan,Telephone
Class II,2017-08-16,2018-04-24,348,Terminated,GMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Visit
Class II,2020-08-26,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2022-05-04,2022-09-22,163,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2023-11-08,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,Safecor Health, PRESCRIPTION DRUG,ORAL,Letter
Class II,2020-07-01,2021-10-26,510,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-09-30,2023-10-04,1126,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Press Release
Class II,2020-11-25,2023-01-04,817,Terminated,GMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-12-19,2020-02-27,468,Terminated,CGMP VIOLATIONS NOTED DURING THE FIRM'S MOST RECENT INSPECTION.,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-07-17,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2022-04-13,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,Greenstone , PRESCRIPTION DRUG,ORAL,Press Release
Class II,2022-08-24,2023-02-19,219,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2012-10-03,2013-03-18,290,Terminated,GMP DEVIATION,CGMP/GMP Issues,Bracco Diagnostics , PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2018-10-17,,,Completed,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class III,2019-08-14,2020-09-09,568,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,BluePoint Laboratories, PRESCRIPTION DRUG,ORAL,Letter
Class II,2021-01-20,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Press Release
Class II,2023-04-19,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,Camber Pharmaceuticals, PRESCRIPTION DRUG,ORAL,Letter
Class II,2012-06-27,2013-06-11,403,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Other
Class II,2015-01-28,2015-11-09,774,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-09-05,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-06-26,2020-09-30,510,Terminated,GMP DEVIATIONS,CGMP/GMP Issues,American Health Packaging, PRESCRIPTION DRUG,ORAL,Letter
Class II,2020-12-16,2022-03-11,458,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,CELLTRION USA, PRESCRIPTION DRUG,"INTRAVENOUS', 'SUBCUTANEOUS",Letter
Class II,2017-06-21,2018-05-31,409,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2019-01-23,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,Aurobindo Pharma Limited, PRESCRIPTION DRUG,ORAL,Press Release
Class II,2019-06-26,2020-09-09,462,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,QUALITY CHOICE (Chain Drug Marketing Association), OTC DRUG,ORAL,Letter
Class II,2020-11-11,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-11-11,2021-10-22,381,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,PD-Rx Pharmaceuticals, PRESCRIPTION DRUG,ORAL,Letter
Class II,2022-02-02,2023-06-07,548,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Press Release
Class II,2022-03-09,2023-02-17,367,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Macleods Pharmaceuticals Limited, PRESCRIPTION DRUG,ORAL,Letter
Class II,2022-06-29,2023-05-24,355,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Sun Pharmaceutical Industries, PRESCRIPTION DRUG,INTRAMUSCULAR,nan
Class II,2023-06-07,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2012-12-12,2013-11-14,493,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Telephone
Class II,2021-08-18,2023-07-29,760,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2022-03-16,2022-12-02,273,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2023-04-05,,,Completed,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2012-11-21,2016-07-25,1363,Terminated,GMP DEFICIENCIES,CGMP/GMP Issues,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2017-11-29,2019-04-03,569,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-08-22,2023-03-25,1711,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-08-11,2022-07-20,385,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-08-04,2022-02-08,208,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2022-05-11,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2023-06-14,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2016-03-30,2017-12-13,745,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-05-22,2020-11-25,573,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-07-17,2021-10-26,859,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Macleods Pharmaceuticals Limited, PRESCRIPTION DRUG,ORAL,Letter
Class III,2019-11-06,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-07-22,2021-12-23,534,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Lupin Pharmaceuticals, PRESCRIPTION DRUG,ORAL,Letter
Class II,2022-08-31,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Other
Class II,2023-01-04,,,Completed,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2016-12-07,2017-08-14,294,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2019-02-27,2020-06-04,486,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-11-20,2021-04-26,546,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Lannett Company, PRESCRIPTION DRUG,ORAL,Press Release
Class II,2020-05-13,2020-11-19,259,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Teva Pharmaceuticals USA, PRESCRIPTION DRUG,"INTRAMUSCULAR', 'SUBCUTANEOUS",Letter
Class II,2020-10-14,2020-12-04,584,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-09-29,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,Pfizer Laboratories Div Pfizer , PRESCRIPTION DRUG,ORAL,Press Release
Class II,2023-07-05,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,nan
Class II,2018-11-07,2020-03-27,520,Terminated,CGMP DEVIATION,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-11-10,2023-01-30,475,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Lupin Pharmaceuticals, PRESCRIPTION DRUG,ORAL,Letter
Class II,2022-02-02,,,Ongoing,CGMP DEFICIENCIES,CGMP/GMP Issues,Meda Pharmaceuticals ., PRESCRIPTION DRUG,TOPICAL,Letter
Class III,2022-06-15,2023-11-30,596,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Nephron Pharmaceuticals Corporation, PRESCRIPTION DRUG,RESPIRATORY (INHALATION),Letter
Class II,2022-05-11,2023-05-22,417,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Lupin Pharmaceuticals, PRESCRIPTION DRUG,ORAL,Letter
Class II,2023-03-15,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2023-05-10,,,Ongoing,CGMP DEVIATIONS.,CGMP/GMP Issues,PD-Rx Pharmaceuticals, PRESCRIPTION DRUG,ORAL,Letter
Class III,2014-12-31,2015-10-26,326,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,AmerisourceBergen Drug Corporation, OTC DRUG,OPHTHALMIC,Letter
Class II,2018-10-24,2021-03-30,970,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-08-07,2023-06-05,1424,Terminated,CGMPS DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-11-11,2021-09-22,345,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,direct rx, PRESCRIPTION DRUG,ORAL,Letter
Class III,2013-06-12,2013-12-24,280,Terminated,CGMP DEVIATION,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-08-15,2021-04-22,997,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-10-14,,,Ongoing,CMGP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2022-06-22,2023-05-25,377,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class III,2012-09-05,2012-09-18,461,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Apotex Corp., PRESCRIPTION DRUG,NASAL,Letter
Class II,2017-03-08,2018-06-29,498,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2020-09-16,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Press Release
Class II,2020-08-12,2022-01-21,546,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-01-20,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,Nostrum Laboratories ., PRESCRIPTION DRUG,ORAL,Press Release
Class II,2023-07-19,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2016-01-13,2016-12-23,604,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2018-08-29,,,Completed,CGMP DEVIATIONS,CGMP/GMP Issues,Camber Pharmaceuticals, PRESCRIPTION DRUG,ORAL,Letter
Class III,2019-08-07,2023-06-06,1527,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Telephone
Class II,2023-05-03,,,Completed,CGMP DEVIATIONS,CGMP/GMP Issues,Methapharm, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2023-11-22,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2014-11-12,2015-03-16,175,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2023-08-09,,,Completed,CGMP DEVIATION,CGMP/GMP Issues,Ritedose Pharmaceuticals, PRESCRIPTION DRUG,ORAL,E-Mail
Class II,2014-05-21,2014-11-14,235,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2017-06-14,2021-09-24,1619,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
